time,glucose
1679414460,102.0
1679414760,102.0
1679415060,102.0
1679415360,102.0
1679415660,100.0
1679415960,100.0
1679416260,104.0
1679416560,106.0
1679416860,107.0
1679417160,109.0
1679417460,110.0
1679417760,111.0
1679418060,109.0
1679418360,108.0
1679418660,106.0
1679418960,102.0
1679419260,97.0
1679419560,94.0
1679419860,94.0
1679420160,91.0
1679420460,89.0
1679420760,89.0
1679421060,90.0
1679421360,88.0
1679421660,88.0
1679421960,87.0
1679422260,83.0
1679422560,83.0
1679422860,82.0
1679423160,82.0
1679423460,83.0
1679423760,83.0
1679424060,86.0
1679424360,86.0
1679424660,86.0
1679424960,86.0
1679425260,86.0
1679425560,86.0
1679425860,88.0
1679426160,86.0
1679426460,85.0
1679426760,83.0
1679427060,84.0
1679427360,85.0
1679427660,85.0
1679427960,82.0
1679428260,79.0
1679428560,79.0
1679428860,82.0
1679429160,84.0
1679429460,84.0
1679429760,85.0
1679430060,86.0
1679430360,86.0
1679430660,88.0
1679430960,90.0
1679431260,90.0
1679431560,92.0
1679431860,96.0
1679432160,98.0
1679432460,95.0
1679432760,94.0
1679433060,92.0
1679433360,90.0
1679433660,89.0
1679433960,84.0
1679434260,84.0
1679434560,85.0
1679434860,86.0
1679435160,77.0
1679435460,79.0
1679435760,77.0
1679436060,86.0
1679436360,86.0
1679436660,89.0
1679436960,94.0
1679437260,100.0
1679437560,107.0
1679437860,109.0
1679438160,111.0
1679438460,108.0
1679438760,107.0
1679439060,104.0
1679439360,97.0
1679439660,93.0
1679439960,92.0
1679440260,91.0
1679440560,91.0
1679440860,91.0
1679441160,90.0
1679441460,91.0
1679441760,91.0
1679442060,91.0
1679442360,91.0
1679442660,91.0
1679442960,89.0
1679443260,89.0
1679443560,88.0
1679443860,88.0
1679444160,87.0
1679444460,87.0
1679444760,86.0
1679445060,87.0
1679445360,88.0
1679445660,87.0
1679445960,87.0
1679446260,87.0
1679446560,87.0
1679446860,86.0
1679447160,85.0
1679447460,84.0
1679447760,84.0
1679448060,83.0
1679448360,82.0
1679448660,83.0
1679448960,83.0
